Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Santiago Bueno,Wolves,URU,Defender,11.2,11.2
Solly March,Brighton,ENG,Forward,7.3,11.19
Mathias Jensen,Brentford,DEN,Midfielder,14.7,11.11
Wataru Endo,Liverpool,JPN,Midfielder,11.1,11.1
Nathan Patterson,Everton,SCO,Defender,19.9,10.65
Tim Iroegbunam,Everton,ENG,Midfielder,13.8,10.4
Tommy Doyle,Wolves,ENG,Midfielder,14.0,10.31
Adam Webster,Brighton,ENG,Defender,12.2,10.24
Ryan Christie,Bournemouth,SCO,Midfielder,16.2,10.2
Arijanet Muric,Ipswich Town,KVX,Goalkeeper,10.1,10.1
Yerson Mosquera,Wolves,COL,Defender,12.4,9.75
Adama Traoré,Fulham,ESP,Forward,8.0,9.59
Harry Winks,Leicester City,ENG,Midfielder,11.4,9.47
Ben Davies,Tottenham,WAL,Defender,5.6,9.38
Abdul Fatawu Issahaku,Leicester City,GHA,Forward,21.9,9.26
Lewis Dunk,Brighton,ENG,Defender,7.4,9.24
Matz Sels,Nott'ham Forest,BEL,Goalkeeper,9.1,9.1
Jack Harrison,Everton,ENG,Forward,17.7,9.1
William Osula,Newcastle Utd,DEN,Forward,10.3,9.05
Danny Ings,West Ham,ENG,Forward,4.6,8.82
Tyrique George,Chelsea,ENG,Forward,15.7,8.69
Kalvin Phillips,Ipswich Town,ENG,Midfielder,17.2,8.57
Vitaly Janelt,Brentford,GER,Midfielder,27.1,8.31
George Hirst,Ipswich Town,SCO,Forward,7.7,8.11
Ryan Sessegnon,Fulham,ENG,Forward,11.8,7.79
Kasey McAteer,Leicester City,IRL,Forward,1.5,7.66
Yehor Yarmoliuk,Brentford,UKR,Midfielder,18.0,7.49
Nélson Semedo,Wolves,POR,Defender,8.4,7.42
Kieran Trippier,Newcastle Utd,ENG,Defender,5.1,7.34
Carlos Forbs,Wolves,POR,Midfielder,13.0,7.23
Ethan Pinnock,Brentford,JAM,Defender,7.6,6.83
Joël Veltman,Brighton,NED,Defender,5.7,6.83
Harry Amass,Manchester Utd,ENG,Defender,0.7,6.8
Jens Cajuste,Ipswich Town,SWE,Midfielder,15.5,6.63
Nathan Broadhead,Ipswich Town,WAL,Midfielder,6.1,6.1
Jack Stephens,Southampton,ENG,Defender,1.4,5.82
Stefan Ortega,Manchester City,GER,Goalkeeper,5.8,5.8
Michail Antonio,West Ham,JAM,Forward,1.0,5.61
Adam Smith,Bournemouth,ENG,Defender,1.5,5.22
Callum Wilson,Newcastle Utd,ENG,Forward,7.3,5.05
Nathan Wood-Gordon,Southampton,ENG,Defender,6.1,5.0
Edmond-Paris Maghoma,Brentford,ENG,Midfielder,0.8,4.87
Vladimír Coufal,West Ham,CZE,Defender,4.8,4.8
Jamie Vardy,Leicester City,ENG,Forward,1.0,4.79
Ben Johnson,Ipswich Town,ENG,Defender,12.6,4.72
Oliver Skipp,Leicester City,ENG,Midfielder,17.0,4.72
Joe Aribo,Southampton,NGA,Midfielder,6.9,4.28
Patson Daka,Leicester City,ZAM,Forward,14.0,4.05
Matt Doherty,Wolves,IRL,Defender,4.2,3.99
Harrison Reed,Fulham,ENG,Midfielder,6.7,3.91
Stephy Mavididi,Leicester City,ENG,Forward,12.9,3.71
Luis Sinisterra,Bournemouth,COL,Forward,15.4,3.61
James Bree,Southampton,ENG,Defender,1.9,3.59
Timo Werner,Tottenham,GER,Forward,10.3,3.44
Dan Burn,Newcastle Utd,ENG,Defender,9.1,3.4
Conor Coady,Leicester City,ENG,Defender,2.2,3.09
Ben Godfrey,Ipswich Town,ENG,Defender,10.5,2.99
Ryan Manning,Southampton,IRL,Defender,3.9,2.98
Hákon Rafn Valdimarsson,Brentford,ISL,Goalkeeper,2.4,2.4
Idrissa Gana Gueye,Everton,SEN,Midfielder,5.0,2.26
Woyo Coulibaly,Leicester City,FRA,Defender,1.9,2.08
Cameron Burgess,Ipswich Town,AUS,Defender,1.7,1.7
Alex Palmer,Ipswich Town,ENG,Goalkeeper,1.6,1.6
Neto,Bournemouth,BRA,Goalkeeper,1.6,1.6
Jason Steele,Brighton,ENG,Goalkeeper,1.5,1.5
Christian Walton,Ipswich Town,ENG,Goalkeeper,1.4,1.4
Sam Morsy,Ipswich Town,EGY,Midfielder,1.3,1.3
Ross Stewart,Southampton,SCO,Forward,2.8,1.18
Robin Olsen,Aston Villa,SWE,Goalkeeper,0.9,0.9
Łukasz Fabiański,West Ham,POL,Goalkeeper,0.9,0.9
Fraser Forster,Tottenham,ENG,Goalkeeper,0.7,0.7
Joe Lumley,Southampton,ENG,Goalkeeper,0.7,0.7
Jakub Stolarczyk,Leicester City,POL,Goalkeeper,0.7,0.7
Sam Johnstone,Wolves,ENG,Goalkeeper,7.9,0.67
Alex McCarthy,Southampton,ENG,Goalkeeper,0.6,0.6
Emil Krafth,Newcastle Utd,SWE,Defender,2.0,0.21
Danny Ward,Leicester City,WAL,Goalkeeper,0.9,0.1
Justin Devenny,Crystal Palace,NIR,Midfielder,6.9,0.1
Séamus Coleman,Everton,IRL,Defender,0.7,0.1
Sven Botman,Newcastle Utd,NED,Defender,52.7,0.1
Adam Lallana,Southampton,ENG,Midfielder,0.9,0.1
Odsonne Édouard,Crystal Palace,FRA,Midfielder,12.4,0.1
Massimo Luongo,Ipswich Town,AUS,Midfielder,0.5,0.1
Andy Irving,West Ham,SCO,Midfielder,6.5,0.1
Willy Boly,Nott'ham Forest,CIV,Defender,1.4,0.1
Welington,Southampton,BRA,Defender,4.0,0.1
Wes Burns,Ipswich Town,WAL,Forward,2.1,0.1
Ryan Fraser,Southampton,SCO,Forward,2.3,0.1
James Milner,Brighton,ENG,Midfielder,1.2,0.1
Michael Keane,Everton,ENG,Defender,2.3,0.1
William Smallbone,Southampton,IRL,Midfielder,8.4,0.1
Michael Kayode,Brentford,ITA,Defender,25.0,0.1
Ricardo Pereira,Leicester City,POR,Defender,4.1,0.1
Pablo Sarabia,Wolves,ESP,Midfielder,4.9,0.1
Harry Toffolo,Nott'ham Forest,ENG,Defender,2.2,0.1
Ferdi Kadioglu,Brighton,TUR,Defender,37.4,0.1
Jannik Vestergaard,Leicester City,DEN,Defender,2.0,0.1
Chiedozie Ogbene,Ipswich Town,IRL,Forward,9.8,0.1
Jonny Evans,Manchester Utd,NIR,Defender,1.1,0.1
Bobby De Cordova-Reid,Leicester City,JAM,Forward,2.7,0.1
Nathaniel Clyne,Crystal Palace,ENG,Defender,1.0,0.1
Tom Cairney,Fulham,SCO,Midfielder,1.5,0.1
Aaron Cresswell,West Ham,ENG,Defender,0.8,0.1
Charlie Taylor,Southampton,ENG,Defender,2.1,0.1
Ben Mee,Brentford,ENG,Defender,0.9,0.1
Ben Chilwell,Crystal Palace,ENG,Defender,20.4,0.1
Craig Dawson,Wolves,ENG,Defender,1.5,0.1
Conor Townsend,Ipswich Town,ENG,Defender,1.2,0.1
Armel Bella Kotchap,Southampton,GER,Defender,15.4,0.1
Willian,Fulham,BRA,Forward,1.3,0.1
